section,subsection,level,parent_item,title,description,full_text
Kitchen,,1,,Pot Filler Over Stove,"Pot filler over stove for filling pots with water on the stove without having to to sink or kettle, also must have a short hose to fill pots at different heights","Pot Filler Over Stove - Pot filler over stove for filling pots with water on the stove without having to to sink or kettle, also must have a short hose to fill pots at different heights"
Kitchen,,1,,Hidden Knife Cupboard,Vertical knife cupboard so knives can be hidden away safely away from children,Hidden Knife Cupboard - Vertical knife cupboard so knives can be hidden away safely away from children
Kitchen,,1,,Built-In Pet Spaces,"Hidden pet feeding stations, built-in beds, and washing stations for pets integrated into the kitchen","Built-In Pet Spaces - Hidden pet feeding stations, built-in beds, and washing stations for pets integrated into the kitchen"
Kitchen,,1,,Hidden Washing Machine and Dishwasher,Cardboard doors in front of washing machine and dishwasher so you can hid them away,Hidden Washing Machine and Dishwasher - Cardboard doors in front of washing machine and dishwasher so you can hid them away
Kitchen,,1,,Plastic instead of wood chopping board and spoons,Cooking with wooden items can be bad as the bacteria can easily get trapped in absorbed into the wood.,Plastic instead of wood chopping board and spoons - Cooking with wooden items can be bad as the bacteria can easily get trapped in absorbed into the wood.
Kitchen,,1,,Automatic Opening Hidden Bins,Bin drawers so you can hide the bin. Also the bin should have a motion sensored,Automatic Opening Hidden Bins - Bin drawers so you can hide the bin. Also the bin should have a motion sensored
Kitchen,,1,,Back Splash Tiles,Don’t forget a backsplash or tiles in your kitchen to keep your kitchen walls clean.,Back Splash Tiles - Don’t forget a backsplash or tiles in your kitchen to keep your kitchen walls clean.
Kitchen,,1,,Proper Hot Tap,Proper hot tap in the kitchen as it’s easier to dry dishes when the water evaporates after you’ve dried them. (But might have bacteria in it),Proper Hot Tap - Proper hot tap in the kitchen as it’s easier to dry dishes when the water evaporates after you’ve dried them. (But might have bacteria in it)
Kitchen,,1,,Hidden Tool Box in Cupboard,There should be a place to hide and put away a tool box in the kitchen that is easy to get to.,Hidden Tool Box in Cupboard - There should be a place to hide and put away a tool box in the kitchen that is easy to get to.
Kitchen,,1,,Second Extra Large Recycling Bin,There should be a big recycling bin in the kitchen or near the entrance for all the cardboard boxes and packaging to get from deliveries and from Amazon. They should be an extra bin in the kitchen for large bottles and cartons for the recycling so they don’t full up all the big stuff.,Second Extra Large Recycling Bin - There should be a big recycling bin in the kitchen or near the entrance for all the cardboard boxes and packaging to get from deliveries and from Amazon. They should be an extra bin in the kitchen for large bottles and cartons for the recycling so they don’t full up all the big stuff.
Kitchen,,1,,Motion Sensor Lights in Cupboards,for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.,Motion Sensor Lights in Cupboards - for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.
Kitchen,,1,,Fire Extinguisher and Blanket,Fire extinguisher and Blanket and possible a hose in the kitchen,Fire Extinguisher and Blanket - Fire extinguisher and Blanket and possible a hose in the kitchen
Kitchen,,1,,Charging Port In Cupboard Above Sink,A charging port in the cupboard above the sink so I can put my iPad there while doing the washing up.,Charging Port In Cupboard Above Sink - A charging port in the cupboard above the sink so I can put my iPad there while doing the washing up.
Kitchen,,1,,Massive Projector and Scree,n - in the kitchen that can be hidden away for watching cooking tutorials,Massive Projector and Scree - n - in the kitchen that can be hidden away for watching cooking tutorials
Kitchen,,1,,Corner Draws in kitchen,To make it easier to put stuff in corner of counter cupboard space.,Corner Draws in kitchen - To make it easier to put stuff in corner of counter cupboard space.
Kitchen,,1,,Swivel trays for Corner Cupboards,makes it easier to get to things into cupboards,Swivel trays for Corner Cupboards - makes it easier to get to things into cupboards
Kitchen,,1,,Large hidden bins,There’s nothing more annoying then constantly having to take out the recycling bin bins,Large hidden bins - There’s nothing more annoying then constantly having to take out the recycling bin bins
Kitchen,,1,,Blue Theme,Have a blue plates and dishes and blue kitchen theme to make you want to eat less,Blue Theme - Have a blue plates and dishes and blue kitchen theme to make you want to eat less
Kitchen,,1,,Extra long Teaspoons,for getting to the bottom of tall thin jars,Extra long Teaspoons - for getting to the bottom of tall thin jars
Kitchen,,1,,Actual Stainless Steal,Make sure you get actual stainless steel not grimy stainless steel,Actual Stainless Steal - Make sure you get actual stainless steel not grimy stainless steel
Kitchen,,1,,Different Colour Sponges for Purposes,Different colour sponge for washing dishes and cleaning surfaces.,Different Colour Sponges for Purposes - Different colour sponge for washing dishes and cleaning surfaces.
Kitchen,,1,,LED Faucet,(no batteries needed),LED Faucet - (no batteries needed)
Kitchen,,1,,Oven Gloves with Silicone Mittens,Fabric oven gloves are harder to clean when you spill sources or liquids on them.,Oven Gloves with Silicone Mittens - Fabric oven gloves are harder to clean when you spill sources or liquids on them.
Kitchen,,1,,Non White Table Surface,A white table surface will show Staines and dirt a lot easier. Unless it’s a made from a stone that doesn’t stain easily.,Non White Table Surface - A white table surface will show Staines and dirt a lot easier. Unless it’s a made from a stone that doesn’t stain easily.
Kitchen,,1,,Plastic Food Bag Clips,Lots of clips for clipping food bags and putting them in cupboards and the fridge,Plastic Food Bag Clips - Lots of clips for clipping food bags and putting them in cupboards and the fridge
Kitchen,,1,,Mini Pizza Oven,You’re very own mini pizza oven,Mini Pizza Oven - You’re very own mini pizza oven
Dinning Room,,1,,Blackout Curtains,For watching movies,Blackout Curtains - For watching movies
Dinning Room,,1,,Overlapping Curtains,Curtain rails that overlap so there’s no light that seep through,Overlapping Curtains - Curtain rails that overlap so there’s no light that seep through
Dinning Room,,1,,Non White Table Surface,A white table surface will show Staines and dirt a lot easier,Non White Table Surface - A white table surface will show Staines and dirt a lot easier
Dinning Room,,1,,Machine Washable Rugs,There’s no doubt that people will drop food and drinks on the rug. Machine washable means we can keep them clean when guest come around.,Machine Washable Rugs - There’s no doubt that people will drop food and drinks on the rug. Machine washable means we can keep them clean when guest come around.
Bedroom,,1,,Silent Air Conditioning,There’s nothing more annoying than a loud air conditioner when you’re trying to sleep. My must stressful moment on holiday where when it was too hot to turn off the air conditioner but also way too loud while I try to fall asleep.,Silent Air Conditioning - There’s nothing more annoying than a loud air conditioner when you’re trying to sleep. My must stressful moment on holiday where when it was too hot to turn off the air conditioner but also way too loud while I try to fall asleep.
Bedroom,,1,,Alaskan King Bed,This is a great bed size for the whole family,Alaskan King Bed - This is a great bed size for the whole family
Bedroom,,1,,Complete Silence at Night,"No noise from air conditioning system, or any hvac system or anything. No nose form outside, trains, planes, cars or any other loud nosiness outside. No white noise. Just complete silence at night.","Complete Silence at Night - No noise from air conditioning system, or any hvac system or anything. No nose form outside, trains, planes, cars or any other loud nosiness outside. No white noise. Just complete silence at night."
Bedroom,,1,,Zippable pillow cases and duvet covers,Button duvet covers always come undone. And pillow cases without zip always let the pillow slip out. So instead get pillow cases and duvet covers with zips on. But good quality zips that won’t break easily.,Zippable pillow cases and duvet covers - Button duvet covers always come undone. And pillow cases without zip always let the pillow slip out. So instead get pillow cases and duvet covers with zips on. But good quality zips that won’t break easily.
Bedroom,,1,,Super Soft Duvet Cover,Non stiff or rough duvet cover,Super Soft Duvet Cover - Non stiff or rough duvet cover
Bedroom,,1,,Dual Big Floor to Ceiling Mirrors,Two big mirrors for two people so you can easily see the outfit you’re coming out for the day.,Dual Big Floor to Ceiling Mirrors - Two big mirrors for two people so you can easily see the outfit you’re coming out for the day.
Bedroom,,1,,Two Sinks in Master Bedroom En-suite,Two sinks for when you and your partner are trying to get ready at the same time.,Two Sinks in Master Bedroom En-suite - Two sinks for when you and your partner are trying to get ready at the same time.
Bedroom,,1,,Secret Door Entrance Looks Like Wardrobe,Just like in Narnia the actually walk in wardrobe could be hind a normal looking wardrobe.,Secret Door Entrance Looks Like Wardrobe - Just like in Narnia the actually walk in wardrobe could be hind a normal looking wardrobe.
Bedroom,,1,,True Mirror,"Each bedroom has a true mirror, two mirrors at 90° without a seam between them. Shows how people really see you.","True Mirror - Each bedroom has a true mirror, two mirrors at 90° without a seam between them. Shows how people really see you."
Bedroom,,1,,Large concealed hidden bin,You’ll be surprised at how many times you need the bin in the bedroom but it shouldn’t be visible and should be quite big so you don’t habe to keep changing it.,Large concealed hidden bin - You’ll be surprised at how many times you need the bin in the bedroom but it shouldn’t be visible and should be quite big so you don’t habe to keep changing it.
Bedroom,,1,,Easily Accessible Extra Duvet - Never know when your heating will brake or you just want to be extra cosy. Always nice to have a spare big duvet in an easily accessible cupboard.,,Easily Accessible Extra Duvet - Never know when your heating will brake or you just want to be extra cosy. Always nice to have a spare big duvet in an easily accessible cupboard.
Bedroom,,1,,Light Switch for Outdoor Lights,sometimes you hear a sound at night and want to check outside so you could have a switch to turn on all the lights outside your window and the floodlights in your garden. All from the comfort of your bedroom.,Light Switch for Outdoor Lights - sometimes you hear a sound at night and want to check outside so you could have a switch to turn on all the lights outside your window and the floodlights in your garden. All from the comfort of your bedroom.
Bedroom,,1,,Laundry room in noise cancelled bedroom closet,What’s the point in taking your laundry all the way downstairs if you’re just going to have to take them back up to your bedroom when done. Just do your laundry next to your bedroom in your walk in closet.,Laundry room in noise cancelled bedroom closet - What’s the point in taking your laundry all the way downstairs if you’re just going to have to take them back up to your bedroom when done. Just do your laundry next to your bedroom in your walk in closet.
Bedroom,,1,,Motion Activated Closet Lights,To save you accidentally forgetting to turn off your closet like get in wired powered motion activated closet lights.,Motion Activated Closet Lights - To save you accidentally forgetting to turn off your closet like get in wired powered motion activated closet lights.
Bedroom,,1,,TV slides behind because or wall,Instead of a big black tv or a picture frame tv being centre of attention we move it behind a an easy to slide bookcase or wall.,TV slides behind because or wall - Instead of a big black tv or a picture frame tv being centre of attention we move it behind a an easy to slide bookcase or wall.
Bedroom,,1,,Hidden heated clothes racks,"it’s so nice having hot warm clothes in the morning, but you don’t always want them to be seen, so having a heated cupboard and way to hang up clothes that you can take out freshly warm in the morning would be really nice.","Hidden heated clothes racks - it’s so nice having hot warm clothes in the morning, but you don’t always want them to be seen, so having a heated cupboard and way to hang up clothes that you can take out freshly warm in the morning would be really nice."
Bedroom,,1,,Foldable Wall Parting for Loft Bedroom,"In the main bedroom over the loft layout, it’s open to big windows, so their needs to be a rollable wall parting to close off that space for when we want privacy in the bed. But at the same time we don’t want a random floating bar obstructing our view unless it was really high up. So maybe just a really high curtain, where the rail didn’t obstruct our view.","Foldable Wall Parting for Loft Bedroom - In the main bedroom over the loft layout, it’s open to big windows, so their needs to be a rollable wall parting to close off that space for when we want privacy in the bed. But at the same time we don’t want a random floating bar obstructing our view unless it was really high up. So maybe just a really high curtain, where the rail didn’t obstruct our view."
Bedroom,,1,,Two Warm and Cold taps in en-suite bathroom,for when you went to wash your hands together,Two Warm and Cold taps in en-suite bathroom - for when you went to wash your hands together
Bedroom,,1,,Lots of sockets on either side of each bed,it’s always annoying when there’s not enough sockets to charge your device at night. Could also hide the wires inside a drawer,Lots of sockets on either side of each bed - it’s always annoying when there’s not enough sockets to charge your device at night. Could also hide the wires inside a drawer
Bedroom,,1,,Charging Drawer,To hide the cables for charging devices could put some in a drawer and also have a wireless hidden pad in the beside table.,Charging Drawer - To hide the cables for charging devices could put some in a drawer and also have a wireless hidden pad in the beside table.
Bedroom,,1,,Mattress with arm hole,Mattress with an arm hole so you can cuddle up next to your significant other without getting a dead arm when they lay on top of it,Mattress with arm hole - Mattress with an arm hole so you can cuddle up next to your significant other without getting a dead arm when they lay on top of it
Bedroom,,1,,Heated Mattresses,for those cosy nights of tough weeks where you want warm bed to get into at the end of the day,Heated Mattresses - for those cosy nights of tough weeks where you want warm bed to get into at the end of the day
Bedroom,,1,,Quiet Doors,"Doors that don’t make a loud click or thud when shut, in order to not wake up other people when going to the toilet at night.","Quiet Doors - Doors that don’t make a loud click or thud when shut, in order to not wake up other people when going to the toilet at night."
Bedroom,,1,,Bedrooms Not Close to Loud Rooms,Ideal room layout. Make sure bedrooms are far from entertaining spaces.,Bedrooms Not Close to Loud Rooms - Ideal room layout. Make sure bedrooms are far from entertaining spaces.
Bedroom,,1,,Smart Mirrors with Integrated Displays,"– Bathroom or bedroom mirrors that display weather updates, calendar events, or fitness stats while you get ready.","Smart Mirrors with Integrated Displays - – Bathroom or bedroom mirrors that display weather updates, calendar events, or fitness stats while you get ready."
Bedroom,,1,,Window Directly Above Bed to Watch Stars,A big window above the bed to gaze at the stars at night when you can’t sleep. Remind you of your place in this world.,Window Directly Above Bed to Watch Stars - A big window above the bed to gaze at the stars at night when you can’t sleep. Remind you of your place in this world.
Bedroom,,1,,Super Comfortable Chair in Front of table,Comfy chair for relaxing in and a table for watching stuff,Super Comfortable Chair in Front of table - Comfy chair for relaxing in and a table for watching stuff
Bedroom,,1,,Hidden to at the end of the bed,So you can watch stuff in bed and then sleep,Hidden to at the end of the bed - So you can watch stuff in bed and then sleep
Bedroom,,1,,Not Too Low Table Tops,Table tops in kitchen and in bathroom not to low down that I have to bend my back to use them for hours. (But not to high that shorter people can’t use them),Not Too Low Table Tops - Table tops in kitchen and in bathroom not to low down that I have to bend my back to use them for hours. (But not to high that shorter people can’t use them)
Bedroom,,1,,Playpen Guard around adult Bed,Playpen guards around adult bed so we can sleep with our toddlers without them escaping,Playpen Guard around adult Bed - Playpen guards around adult bed so we can sleep with our toddlers without them escaping
Bedroom,,1,,Pull down blind Insect Nets on Windows,"Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in.","Pull down blind Insect Nets on Windows - Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in."
Bedroom,,1,,Bed Room Door Locks,Stop people come in during private activities.,Bed Room Door Locks - Stop people come in during private activities.
Bedroom,,1,,Summer and Winter Thickness Duvets,"Thick duvets for the winter but totally different thinner ones for the summer and even thinner blankets. But the blanket, must be big blankets. Non of those small blanket that don’t cover your feet.","Summer and Winter Thickness Duvets - Thick duvets for the winter but totally different thinner ones for the summer and even thinner blankets. But the blanket, must be big blankets. Non of those small blanket that don’t cover your feet."
Bedroom,,1,,Extra Soft Silk Duvet and Pillow Cases,Good for acne and extra soft and won’t graze your skin when moving around in bed.,Extra Soft Silk Duvet and Pillow Cases - Good for acne and extra soft and won’t graze your skin when moving around in bed.
Bedroom,,1,,Mattress,,Mattress
Bedroom,,2,Mattress,Extra Large Bed,A long California King size mattress bed mattress so my feet and tall people feet don’t hang off the end,Extra Large Bed - A long California King size mattress bed mattress so my feet and tall people feet don’t hang off the end
Bedroom,,2,Mattress,Tight Bed Sheets,Tight bed sheets that fit and aren’t loose enough to bunch up under you.,Tight Bed Sheets - Tight bed sheets that fit and aren’t loose enough to bunch up under you.
Bedroom,,2,Mattress,Super High Quality Mattress,A really good high end mattress because you spend so much time in bed,Super High Quality Mattress - A really good high end mattress because you spend so much time in bed
Bedroom,,1,,Charging Stations Next To Bed,Charging port station with at least 10 cable to charge nightlights and power banks,Charging Stations Next To Bed - Charging port station with at least 10 cable to charge nightlights and power banks
Bedroom,,1,,Electric Train Set Around the Ceiling,Small Electric Train Set around the top outside of the of the top of the room,Electric Train Set Around the Ceiling - Small Electric Train Set around the top outside of the of the top of the room
Bedroom,,1,,Panic Button,When there’s an emergency or your not feeling well the panic button will wake everyone up and turn on all the lights.,Panic Button - When there’s an emergency or your not feeling well the panic button will wake everyone up and turn on all the lights.
Bedroom,,1,,Sound proof bedrooms,For when people are doing personal things.,Sound proof bedrooms - For when people are doing personal things.
Bedroom,,1,,Blackout Curtains,For watching movies in the bedroom,Blackout Curtains - For watching movies in the bedroom
Bedroom,,1,,Overlapping Curtains,Curtain rails that overlap so there’s no light that seep through,Overlapping Curtains - Curtain rails that overlap so there’s no light that seep through
Bedroom,,1,,Laundry Shoot,To stop people creating a pile of dirty clothes of having a laundry bag of dirty clothes we could have a laundry shoot to remove all the clothes from the room Entirely.,Laundry Shoot - To stop people creating a pile of dirty clothes of having a laundry bag of dirty clothes we could have a laundry shoot to remove all the clothes from the room Entirely.
Bedroom,,1,,Hidden Bins,bins are unsightly and unhygienic near the bed so they should be in the bedroom but hidden away in a cupboard and far away from the bed and also have a easy way to take out that doesn’t involve walking through the whole house with the trash.,Hidden Bins - bins are unsightly and unhygienic near the bed so they should be in the bedroom but hidden away in a cupboard and far away from the bed and also have a easy way to take out that doesn’t involve walking through the whole house with the trash.
Bedroom,,1,,Hidden Charging Dock for Tooth Brush,The charging socket in the bathroom should be inside a cupboard so you can hide away the electric tooth brush in the cupboard.,Hidden Charging Dock for Tooth Brush - The charging socket in the bathroom should be inside a cupboard so you can hide away the electric tooth brush in the cupboard.
Bedroom,,1,,Fire Extinguisher and Blanket,Fire extinguisher and Blanket for if hair dryer or hair straightener catches fire,Fire Extinguisher and Blanket - Fire extinguisher and Blanket for if hair dryer or hair straightener catches fire
Bedroom,,1,,Mini Fridge,in master bathroom for cold water,Mini Fridge - in master bathroom for cold water
Bedroom,,1,,Hidden Water Fountains,Built into cupboard purified water fountains in bedroom to ensure everyone stays hydrated.,Hidden Water Fountains - Built into cupboard purified water fountains in bedroom to ensure everyone stays hydrated.
Bedroom,,1,,Separate Cloth Bins for White and Coloured,Separated white and colour clothing bins for washing clothes. So that everyone separated their clothes to make it easier to wash.,Separate Cloth Bins for White and Coloured - Separated white and colour clothing bins for washing clothes. So that everyone separated their clothes to make it easier to wash.
Bedroom,,1,,Summer and Winter Duvet,Duvet covered that can clip to together when you want to double them up for the winter,Summer and Winter Duvet - Duvet covered that can clip to together when you want to double them up for the winter
Bedroom,,1,,Heated Blankets,in winter,Heated Blankets - in winter
Living Room,,1,,Blackout Curtains,For watching movies,Blackout Curtains - For watching movies
Living Room,,1,,Water Repellent Sofa Material,Water repellent sofa material so it can’t be ruined by one split drink,Water Repellent Sofa Material - Water repellent sofa material so it can’t be ruined by one split drink
Living Room,,1,,TV slides behind because or wall,Instead of a big black tv or a picture frame tv being centre of attention we move it behind a an easy to slide bookcase or wall.,TV slides behind because or wall - Instead of a big black tv or a picture frame tv being centre of attention we move it behind a an easy to slide bookcase or wall.
Living Room,,1,,TV above toddler height,To stop toddlers and young children from breaking the tv,TV above toddler height - To stop toddlers and young children from breaking the tv
Living Room,,1,,Lazy Boy Chair,Find the most comfortable chair,Lazy Boy Chair - Find the most comfortable chair
Living Room,,1,,Slide out Christmas tree from storage cupboard in living room,Instead of spending ages building and setting up Christmas tree you could instead have it slide out from a purpose built tall cupboard.,Slide out Christmas tree from storage cupboard in living room - Instead of spending ages building and setting up Christmas tree you could instead have it slide out from a purpose built tall cupboard.
Living Room,,1,,Overlapping Curtains,Curtain rails that overlap so there’s no light that seep through,Overlapping Curtains - Curtain rails that overlap so there’s no light that seep through
Living Room,,1,,No Gaps between Sofa Cushions,Sofas that don’t have gaps between the cushions for things to fall down,No Gaps between Sofa Cushions - Sofas that don’t have gaps between the cushions for things to fall down
Living Room,,1,,Table on Each Side of Sofa,There should be at least two extra tables on either side of the sofa so you don’t have to put stuff on the sofa when you want to put food on the main table,Table on Each Side of Sofa - There should be at least two extra tables on either side of the sofa so you don’t have to put stuff on the sofa when you want to put food on the main table
Living Room,,1,,Big Cupboard for Board Games,Big cupboard to store all the many boardgames we have,Big Cupboard for Board Games - Big cupboard to store all the many boardgames we have
Living Room,,1,,2nd Bathroom near living room,For when there’s a big party or lots of people over for Christmas and multiple people want to use the toilet at once.,2nd Bathroom near living room - For when there’s a big party or lots of people over for Christmas and multiple people want to use the toilet at once.
Living Room,,1,,Spare Beds that can be Hidden Away,Spare Beds for guests and for when you want to have big sleep overs in the living room,Spare Beds that can be Hidden Away - Spare Beds for guests and for when you want to have big sleep overs in the living room
Living Room,,1,,Built In Surround Sound System,,Built In Surround Sound System
Living Room,,1,,Ping Pong Table Door,,Ping Pong Table Door
Garden,,1,,Rocky Water Fountain and Stepping stones over pound and mini bridge,Like grandpa’s garden there should be a small bridge and waterfall over rocky stepping stones.,Rocky Water Fountain and Stepping stones over pound and mini bridge - Like grandpa’s garden there should be a small bridge and waterfall over rocky stepping stones.
Garden,,1,,Chestnut conker tree,so I can play Conkers with my wife and kids evey time he conkers fall,Chestnut conker tree - so I can play Conkers with my wife and kids evey time he conkers fall
Garden,,1,,Wrap Around Covered Porch,for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.,Wrap Around Covered Porch - for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.
Garden,,1,,Indoor Horse Riding Arena,when it’s cold and raining in the winter having a indoor horse riding arena would be nice,Indoor Horse Riding Arena - when it’s cold and raining in the winter having a indoor horse riding arena would be nice
Garden,,1,,Horse Stable,Places to keep the horses,Horse Stable - Places to keep the horses
Garden,,1,,"Sunken dry seating area in middle of the pool, with fire pit",Make it easy to clean,"Sunken dry seating area in middle of the pool, with fire pit - Make it easy to clean"
Garden,,1,,Maze,Garden maze for the kids,Maze - Garden maze for the kids
Garden,,1,,Clover Lawn,Nice alternative to grass,Clover Lawn - Nice alternative to grass
Garden,,1,,Zip line from house to bottom of garden,garden zip line from top to bottom of the garden. Even better if the zip line can go round corners.,Zip line from house to bottom of garden - garden zip line from top to bottom of the garden. Even better if the zip line can go round corners.
Garden,,1,,Tardis,The Tardis would be good if you can put it under a cover so the elements don’t destroy it too much.,Tardis - The Tardis would be good if you can put it under a cover so the elements don’t destroy it too much.
Garden,,1,,Tennis Court,Good looking fence around the outside. Not one of those ugly wire ones.,Tennis Court - Good looking fence around the outside. Not one of those ugly wire ones.
Garden,,1,,Outdoor Pool,(More dangerous then a gun),Outdoor Pool - (More dangerous then a gun)
Garden,,1,,Hidden Outdoor Storage,– Discreet outdoor sheds or hidden compartments for garden tools and furniture to keep the garden tidy.,Hidden Outdoor Storage - – Discreet outdoor sheds or hidden compartments for garden tools and furniture to keep the garden tidy.
Garden,,1,,Outdoor Kitchen with Optional Cover,"A covered outdoor cooking area with a built-in grill, countertop, and mini fridge for garden parties.","Outdoor Kitchen with Optional Cover - A covered outdoor cooking area with a built-in grill, countertop, and mini fridge for garden parties."
Garden,,1,,Flood Lights,Powerful outdoor flood lights to light up garden in the night,Flood Lights - Powerful outdoor flood lights to light up garden in the night
Garden,,1,,Coloured Flood Lights,For parties,Coloured Flood Lights - For parties
Garden,,1,,BBQ Area,Stone floor or pit to stop things catching on fire,BBQ Area - Stone floor or pit to stop things catching on fire
Garden,,1,,Pagoda,When it’s raining you can still enjoy sitting outside,Pagoda - When it’s raining you can still enjoy sitting outside
Garden,,1,,Slides into the Pool,Strong so that they don’t fly away or break when using them. Easy to clean slides too.,Slides into the Pool - Strong so that they don’t fly away or break when using them. Easy to clean slides too.
Garden,,1,,Large Stage Area,"Large raised outdoor stage, with room to hang stage lights above","Large Stage Area - Large raised outdoor stage, with room to hang stage lights above"
Garden,,1,,Area for Big Tables,Large flat level garden area for putting lots of long tables for garden parties,Area for Big Tables - Large flat level garden area for putting lots of long tables for garden parties
Garden,,1,,A good view,View over a forest or city,A good view - View over a forest or city
Garden,,1,,Nice Luxury Guest House,to show off,Nice Luxury Guest House - to show off
Garden,,1,,Security cameras,"Modern looking, good enough quality to see faces and number plates","Security cameras - Modern looking, good enough quality to see faces and number plates"
Garden,,1,,High above sea level,In the case of flooding we don’t want to be in a flood area,High above sea level - In the case of flooding we don’t want to be in a flood area
Garden,,1,,Robot Lawn Mower,Mowing a big lawn takes a long time and hurts your back or skin if you’re outside for a long time. An automatic lawn mower would save a lot of time and effort,Robot Lawn Mower - Mowing a big lawn takes a long time and hurts your back or skin if you’re outside for a long time. An automatic lawn mower would save a lot of time and effort
Garden,,1,,Trampoline,With safety nets.,Trampoline - With safety nets.
Garden,,1,,Time Capsule,in the garden or in the walls somewhere,Time Capsule - in the garden or in the walls somewhere
Garden,,1,,Rainwater Collection System,"– Collect and filter rainwater for use in toilets, gardens, and cleaning to reduce water bills.","Rainwater Collection System - – Collect and filter rainwater for use in toilets, gardens, and cleaning to reduce water bills."
Bathrooms,,1,,Separate rooms for toilets and washing sink,the toilet should be in a separate room from where you brush your teeth because poo particles go into the air when you flush the toilet.,Separate rooms for toilets and washing sink - the toilet should be in a separate room from where you brush your teeth because poo particles go into the air when you flush the toilet.
Bathrooms,,1,,Heated Mirrors that don’t mist up,Heated mirrors that don’t heat up when you have a hot shower.,Heated Mirrors that don’t mist up - Heated mirrors that don’t heat up when you have a hot shower.
Bathrooms,,1,,Big tall wide bathroom mirrors with lights around mirror,When you want to see yourself after you changed,Big tall wide bathroom mirrors with lights around mirror - When you want to see yourself after you changed
Bathrooms,,1,,Single door for both the toilet and the sink area with foot handle to open door without touching it,the way this works is the toilet and the sink area are in separate rooms and one doorway is 90 degrees to the other doorway but the single door between them. This allows someone to still use the sink while someone is in the toilet. And they can push the door with their foot in order to not touch the door with their dirty hands.,Single door for both the toilet and the sink area with foot handle to open door without touching it - the way this works is the toilet and the sink area are in separate rooms and one doorway is 90 degrees to the other doorway but the single door between them. This allows someone to still use the sink while someone is in the toilet. And they can push the door with their foot in order to not touch the door with their dirty hands.
Bathrooms,,1,,Way to heat up bathroom after shower,Always annoying when you step out the shower and it’s freezing cold.,Way to heat up bathroom after shower - Always annoying when you step out the shower and it’s freezing cold.
Bathrooms,,1,,Soft Gentle Close Toilet Seats,There’s nothing more annoying waking up to the sound of someone dropping the toilet seat down.,Soft Gentle Close Toilet Seats - There’s nothing more annoying waking up to the sound of someone dropping the toilet seat down.
Bathrooms,,1,,Shower controls on opposite side of shower head,It’s so annoying when you want to keep your hair dry but still have to duck under the shower or reach through the shower to adjust the shower. Why are the controls for the shower somewhere where you don’t have to go through the shower to access them?,Shower controls on opposite side of shower head - It’s so annoying when you want to keep your hair dry but still have to duck under the shower or reach through the shower to adjust the shower. Why are the controls for the shower somewhere where you don’t have to go through the shower to access them?
Bathrooms,,1,,Smooth surface sink,so there’s no hidden edges or creases that are hard to clean.,Smooth surface sink - so there’s no hidden edges or creases that are hard to clean.
Bathrooms,,1,,Portable TV,"A tv near the bath and toilet so while you have a bath or a long number two you can watch YouTube, tv or a film.","Portable TV - A tv near the bath and toilet so while you have a bath or a long number two you can watch YouTube, tv or a film."
Bathrooms,,1,,Glass Shower Wall instead of Shower Curtains,"Shower curtains get in the way at fly up when the shower is on the missed setting, so glass is better and looks cleaner.","Glass Shower Wall instead of Shower Curtains - Shower curtains get in the way at fly up when the shower is on the missed setting, so glass is better and looks cleaner."
Bathrooms,,1,,Toilet Roll not too far away from toilet,If the toilet roll is too far away it makes it very awkward and annoying to reach slightly to far to get it.,Toilet Roll not too far away from toilet - If the toilet roll is too far away it makes it very awkward and annoying to reach slightly to far to get it.
Bathrooms,,1,,Two Auto Resetting 2 Minutes Wall Timer,"A timer on the wall that with one press starts a two minutes countdown, for brushing your teeth, and then when pressed again just resets to two minutes and is ready to go again straight away.","Two Auto Resetting 2 Minutes Wall Timer - A timer on the wall that with one press starts a two minutes countdown, for brushing your teeth, and then when pressed again just resets to two minutes and is ready to go again straight away."
Bathrooms,,1,,Bathroom heater / radiator,it’s always not fun when you come out the shower and it’s freezing cold. It be nice to have a warm environment when coming out the shower before putting your clothes on.,Bathroom heater / radiator - it’s always not fun when you come out the shower and it’s freezing cold. It be nice to have a warm environment when coming out the shower before putting your clothes on.
Bathrooms,,1,,Shelf to put your clothes on,empty shelf to put your clean clothes on so you don’t have to get cold running out the room to get your clothes on.,Shelf to put your clothes on - empty shelf to put your clean clothes on so you don’t have to get cold running out the room to get your clothes on.
Bathrooms,,1,,Self-Cleaning Toilets with UV Sterilization,Advanced toilets that use UV light and automatic cleaning mechanisms to maintain hygiene effortlessly.,Self-Cleaning Toilets with UV Sterilization - Advanced toilets that use UV light and automatic cleaning mechanisms to maintain hygiene effortlessly.
